	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:+,-;labiodental:-;coronal:-,+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labial:-,+;labiodental:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:+	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:+	labial:+,-;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,+;front:+;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+ | labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;high:0;low:0;back:0 | labial:-,-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate|plosive	p		ps	tŐ™		ts	tŐ† É			-	t ≤	k	k ∑	8/12	0.8026010022225643
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate|plosive	b		bz	dŐ™	d	dz	dŐ† í	d ∑	dz ∑	b…°		…°	…° ∑	11/13	0.9946969638907159
periodicGlottalSource:+;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate|plosive	bŐ§				dŐ§	dŐ§zŐ§	dŐ† íŐ§	-	-	-	-		…°Ő§ ∑	5/9	0.5325297687857204
periodicGlottalSource:+;category:fricative	ő≤	v	-			z	 í		z ∑	-				5/11	0.6587465536329454
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate	p į			tŐ™ į	t į	ts į		t ∑ į	ts ∑ į	pk į		k į	k ∑ į	9/13	0.9009227012917927
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;sonorant:-;nasal:-;category:affricate|plosive							tŐ† É ľ							1/13	0.12883733329518046
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb		-		nd		nŐ†dŐ† í		-	-		Ňč…°	Ňč…° ∑	5/10	0.8659034040859166
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		f	-			s	 É		s ∑	-			 É ∑	5/11	0.6728767755974091
	6/8	2/8	2/5	3/8	4/8	6/8	7/8	2/7	4/6	2/3	1/7	4/8	6/8
	0.8954209355310524	0.9935139814889719	0.8716812291587527	0.7437113760298361	0.3832177925810259	0.9165027448843515	0.9207505749753225	0.3693938517861162	0.6821436996890161	0.004842615012106521	0.20293778155129705	0.7268210022208386	0.7832428422385088
