name,glottocode
Achang,acha1249
Atsi,zaiw1241
Bola,pela1242
Bahing,bahi1252
Bantawa,bant1281
Beijing,beij1235
Bokar,boka1249
Bunan,gahr1239
Byangsi,byan1241
Chaozhou,chao1238
Chepang,chep1245
Daofu,horp1240
Darang Taraon,diga1241
Dulong,drun1238
Garo,garo1247
Guangzhou,guan1279
Hakha,haka1240
Hayu,wayu1241
Japhug,japh1234
Jieyang,chao1239
Jingpho,jing1260
Khaling,khal1275
Kulung,kulu1253
Lashi,lash1243
Limbu,limb1266
Lisu,lisu1250
Longgang,hakk1236
Mizo,lush1249
Maru,maru1249
Karbi,karb1241
Motuo Menba,tsha1245
Old Burmese,oldb1235
Old Chinese,oldc1244
Old Tibetan,clas1254
Rabha,rabh1238
Rangoon Burmese,nucl1310
Rongpo,rong1264
Tangut,tang1334
Thulung,thul1246
Alike Tibetan,amdo1237
Batang Tibetan,kham1282
Lhasa Tibetan,utsa1239
Xiahe Tibetan,amdo1237
Ukhrul,ukhr1238
Wobzi Khroskyabs,eree1240
Xiandao,xian1249
Xingning,hakk1236
Yidu,idum1241
Zhabab,zhab1238
Maerkang rGyalrong,situ1238